repo,path,file,ext,code_length,comment_length,number_of_comments,total_smiley_faces,frown,smiley_1,smiley_2,smiley_3,smiley_4,smiley_5,smiley_6,smiley_7
angular.js,/,Gruntfile.js,.js,8040,658,11,0,0,0,0,0,0,0,0,0
angular.js,/,angularFiles.js,.js,5079,318,6,0,0,0,0,0,0,0,0,0
angular.js,/,changelog.js,.js,5110,332,7,1,0,0,0,1,0,0,0,0
angular.js,/,compare-master-to-stable.js,.js,3632,157,4,0,0,0,0,0,0,0,0,0
angular.js,/,changelog.spec.js,.js,1732,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,app.js,.js,386,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/assets/js/angular-bootstrap/,bootstrap-prettify.js,.js,8017,1038,18,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/assets/js/angular-bootstrap/,dropdown-toggle.js,.js,4050,194,4,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/assets/js/angular-bootstrap/,bootstrap.js,.js,11970,173,5,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,directives.js,.js,782,140,1,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,docs.js,.js,3292,543,10,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,errors.js,.js,1713,178,3,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,tutorials.js,.js,1677,521,4,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,examples.js,.js,8183,219,4,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,navigationService.js,.js,300,352,7,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,search.js,.js,3747,159,2,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/src/,versions.js,.js,417,82,1,0,0,0,0,0,0,0,0,0
angular.js,/docs/app/test/,docsSpec.js,.js,1073,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/,index.js,.js,1095,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/inline-tag-defs/,type.js,.js,467,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,debug-dump.js,.js,840,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,error-docs.js,.js,1607,189,4,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,git-data.js,.js,589,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,index-page.js,.js,1082,79,2,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,keywords.js,.js,2326,400,7,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,protractor-generate.js,.js,1536,102,3,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,pages-data.js,.js,4815,892,26,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/tag-defs/,tutorial-step.js,.js,257,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/processors/,versions-data.js,.js,1129,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/templates/,pages-data.template.js,.js,128,41,1,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/templates/,protractorTests.template.js,.js,166,0,0,0,0,0,0,0,0,0,0,0
angular.js,/docs/config/templates/,versions-data.template.js,.js,143,41,1,0,0,0,0,0,0,0,0,0
angular.js,/docs/,docs.config.js,.js,688,6150,2,0,0,0,0,0,0,0,0,0
angular.js,/docs/,gulpfile.js,.js,1718,455,6,0,0,0,0,0,0,0,0,0
angular.js,/,gdocs.js,.js,6343,900,13,0,0,0,0,0,0,0,0,0
angular.js,/i18n/closure/,currencySymbols.js,.js,7310,6489,26,0,0,0,0,0,0,0,0,0
angular.js,/i18n/closure/,datetimeSymbolsExt.js,.js,626402,26317,487,0,0,0,0,0,0,0,0,0
angular.js,/i18n/closure/,pluralRules.js,.js,15802,4845,37,0,0,0,0,0,0,0,0,0
angular.js,/i18n/closure/,datetimesymbols.js,.js,145698,5105,95,0,0,0,0,0,0,0,0,0
angular.js,/i18n/closure/,numberSymbols.js,.js,66355,12012,180,0,0,0,0,0,0,0,0,0
angular.js,/i18n/e2e/,i18n-e2e.js,.js,6922,30,1,0,0,0,0,0,0,0,0,0
angular.js,/i18n/spec/,converterSpec.js,.js,2178,0,0,0,0,0,0,0,0,0,0,0
angular.js,/i18n/spec/,parserSpec.js,.js,2367,69,2,0,0,0,0,0,0,0,0,0
angular.js,/i18n/spec/,closureI18nExtractorSpec.js,.js,9340,309,6,0,0,0,0,0,0,0,0,0
angular.js,/i18n/spec/,utilSpec.js,.js,638,0,0,0,0,0,0,0,0,0,0,0
angular.js,/i18n/src/,closureI18nExtractor.js,.js,4560,1837,31,0,0,0,0,0,0,0,0,0
angular.js,/i18n/src/,closureSlurper.js,.js,3121,238,4,0,0,0,0,0,0,0,0,0
angular.js,/i18n/src/,converter.js,.js,1733,221,3,0,0,0,0,0,0,0,0,0
angular.js,/i18n/src/,parser.js,.js,1394,252,3,0,0,0,0,0,0,0,0,0
angular.js,/i18n/src/,util.js,.js,245,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,karma-docs.conf.js,.js,416,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,karma-jqlite.conf.js,.js,558,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,karma-jquery.conf.js,.js,570,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,karma-modules.conf.js,.js,416,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,karma-shared.conf.js,.js,4099,593,13,0,0,0,0,0,0,0,0,0
angular.js,/lib/browser-stack/,start-tunnel.js,.js,1027,68,1,0,0,0,0,0,0,0,0,0
angular.js,/lib/grunt/,plugins.js,.js,2423,0,0,0,0,0,0,0,0,0,0,0
angular.js,/lib/promises-aplus/,promises-aplus-test-adapter.js,.js,406,0,0,0,0,0,0,0,0,0,0,0
angular.js,/lib/grunt/,utils.js,.js,9010,2044,21,0,0,0,0,0,0,0,0,0
angular.js,/lib/htmlparser/,htmlparser.js,.js,7783,1252,34,0,0,0,0,0,0,0,0,0
angular.js,/lib/versions/,version-info.js,.js,4540,2273,28,0,0,0,0,0,0,0,0,0
angular.js,/,protractor-conf.js,.js,212,0,0,0,0,0,0,0,0,0,0,0
angular.js,/,protractor-jenkins-conf.js,.js,749,77,2,0,0,0,0,0,0,0,0,0
angular.js,/,protractor-shared-conf.js,.js,536,136,3,0,0,0,0,0,0,0,0,0
angular.js,/,protractor-travis-conf.js,.js,715,0,0,0,0,0,0,0,0,0,0,0
angular.js,/scripts/,clean-shrinkwrap.js,.js,939,306,4,0,0,0,0,0,0,0,0,0
angular.js,/src/,AngularPublic.js,.js,4110,2384,5,0,0,0,0,0,0,0,0,0
angular.js,/src/,apis.js,.js,696,777,6,0,0,0,0,0,0,0,0,0
angular.js,/src/,Angular.js,.js,19438,19651,81,0,0,0,0,0,0,0,0,0
angular.js,/src/auto/,injector.js,.js,12342,14344,52,0,0,0,0,0,0,0,0,0
angular.js,/src/,jqLite.js,.js,25129,5058,119,0,0,0,0,0,0,0,0,0
angular.js,/src/,loader.js,.js,4183,6777,27,0,0,0,0,0,0,0,0,0
angular.js,/src/,minErr.js,.js,1391,1304,2,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,anchorScroll.js,.js,2064,994,14,1,0,0,0,1,0,0,0,0
angular.js,/src/ng/,animate.js,.js,2552,6957,14,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,cacheFactory.js,.js,5299,6079,15,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,browser.js,.js,5618,6603,43,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,asyncCallback.js,.js,264,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,controller.js,.js,1371,1682,3,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,a.js,.js,716,896,9,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,directives.js,.js,213,0,0,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,booleanAttrs.js,.js,4938,9610,23,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/,compile.js,.js,63580,20144,169,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,form.js,.js,6803,7947,26,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngBind.js,.js,1106,5492,7,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngController.js,.js,134,7707,1,0,0,0,0,0,0,0,0,0
angular.js,/src/ng/directive/,ngClass.js,.js,3679,8717,4,0,0,0,0,0,0,0,0,0
