repository,num files,"__num__",",",")","(",";","__hex__","*",".","=","__str__","}","{","/",":","__rightarrow__","#","[","]","<","__char__"
.php,10289,0.010611769732904468,0.02800373754294101,0.06342735918837557,0.06318767326069921,0.040633152455218244,0.000049891517097555266,0.04629166117223264,0.025677109285113082,0.01718309447389676,0.00544995379692551,0.021932976753588514,0.02175726170907834,0.018670097765624224,0.007677768568599382,0.023920310497224987,0.0004440249618478872,0.004188393760614727,0.004213224114327501,0.012617439790838465,0.037526568717510866
.json,1002,0.01829037954788323,0.15102268591058626,0.00007283567543466179,0.00008115571330221336,0.000039479834595229704,0,0.00011153655830613663,0.0011318303066078451,0.00011641512790134432,0.35748272113629,0.09271303741649907,0.09299259378408985,0.00003093525023019325,0.2163183024799823,0,0.00009734127187921313,0.01790151492563242,0.017902683944402354,0.00007732012316233057,0.0001246366201840801
.md,1541,0.03172862777072688,0.02375306072162412,0.024951979446204267,0.024826954882461276,0.0030265611893841946,0.0001394356910138134,0.014562151168854271,0.05592057761067384,0.006333631128012885,0.010818194701583335,0.003876886157090919,0.003812184575759276,0.001206388125017208,0.025111565855111404,0.0006181188940180473,0.025109743341396738,0.012706378639952646,0.0126722561446641,0.006611221777737527,0.0063726922760521465
.hs,6133,0.041619949079701665,0.02236216615597951,0.042564222207238885,0.04240889507301061,0.0014375905046075496,0.00017094436327714626,0.0024848518249429093,0.02529213036555856,0.040705584466113914,0.01211413716907329,0.012302255465844776,0.012320148685324685,0.0005585906645180828,0.0051384704766705485,0.017948335791001746,0.02291370528402466,0.00903845661447613,0.009053242523360634,0.0018781562376919982,0.005961827811762831
.html,1579,0.021118320045389216,0.009111170248028709,0.011675158081729985,0.011649696684441449,0.015399059250552412,0.000010750772627294183,0.000694131593902782,0.025230768836837246,0.04634950504852956,0.04824377005071235,0.02946598198223434,0.029451790908079836,0.003321992525675085,0.009877355420916339,0.00033784308369981975,0.026968255870969078,0.001636529580352156,0.0016384947538601725,0.11502918134972875,0.005234132798853378
.css,701,0.08106230505481164,0.021226320678250084,0.008339620515192513,0.008330529935488185,0.06758714245111362,0.000007893437683788415,0.021865188873503968,0.05637147646296808,0.002314783436563687,0.004970880221646026,0.039199518172164396,0.03938239202580813,0.01688632962594105,0.07786914363045028,0,0.01940785715091776,0.0011334391963557136,0.0011334391963557136,0.00007126395229625217,0.001818101610491684
.js,9089,0.02901643388178035,0.06810782632459629,0.06455404348777263,0.06385381861178951,0.04355260691277861,0.0004798036612343818,0.007466625108393315,0.05739904577901492,0.023949107205631093,0.03278063738246235,0.022575825836531532,0.022033937039287094,0.004309276071687267,0.02034019363543358,0.000037157138093316665,0.00039917686714657796,0.00856602788295499,0.008596596919227584,0.0013304451726368527,0.025104533941715815
.py,3081,0.021091948822702336,0.04825822001904664,0.05385576855001603,0.053667113668218726,0.0007661488154741954,0.00007480895953202453,0.0023770052512124985,0.06697487975908008,0.036429410909273895,0.021274684570450234,0.0018303154392133657,0.0018313792675583097,0.0003203475782225358,0.027768992559878785,0.00002858704605868116,0.029414971286428636,0.009224277204500447,0.009295465635823457,0.0008065737691027865,0.03762847612082356
.c,25043,0.05360286324798032,0.055951687871968275,0.05731853171510523,0.057268854068947515,0.05550117155256349,0.007676084504121191,0.0468948147426838,0.024829710489652327,0.027632335062307584,0.010977010311212718,0.01564744902500304,0.015536363040778241,0.017363001943431475,0.004972527399596976,0.01939238165202996,0.012034822507579243,0.005300030708497894,0.005298806431418515,0.007818044646693306,0.001672735637191321
.xml,1788,0.01265638328686277,0.005489777042479777,0.00223758349457556,0.0022347515221095037,0.002613522868114576,0.0000393942039604854,0.0005206361899616814,0.014582109662052206,0.092528845538923,0.09933015345448756,0.0014239581138925303,0.0014243009590803283,0.019094804720079475,0.03146249148774579,0.00002122417759674507,0.006008160836621456,0.0005444585773625982,0.000543485958851776,0.12423032219997068,0.0006197734765712833
